Name,N_cl,Rn(quadratic),Rn(cubic),Renyi relative entropy (quadratic),Renyi relative entropy (cubic),Ig,if,g1,g2,g3, IP, EA,electronegativity,Chemical potential,w,w2,Shannon,SGBP,Hardness,Expt. log KOW,Expt. Enthalphy of vap
"2,2prime,3,3prime,4,5,6prime-Heptachlorobiphenyl",7,-3.8664023,-3.37910144,-2.30675876,-2.34675461,4.19131119,18234.33817,23.08079769,-74.93234979,174.2835635,0.318531,0.0126,0.165566,-0.165566,0.0448,0.00201,-18.12807,1258.17205,0.305931,6.85,103.3
"2,2prime,3,3prime,4,5prime,6-Heptachlorobiphenyl",7,-3.86640108,-3.37910021,-2.30723824,-2.34843771,4.28593254,18234.54779,22.92410301,-75.58613296,174.7450415,0.319741,0.014891,0.167316,-0.167316,0.04592,0.00211,-18.04948,1258.22089,0.30485,6.92,114.3
"2,2prime,3,3prime,4,5prime,6prime-Heptachlorobiphenyl",7,-3.86640199,-3.37910126,-2.30729553,-2.34859811,4.31595103,18234.31429,24.18198088,-75.85847962,172.6279693,0.320166,0.011072,0.165619,-0.165619,0.04437,0.00197,-18.13321,1258.16957,0.309094,6.73,102.9
"2,2prime,3,3prime,4,6,6prime-Heptachlorobiphenyl",7,-3.86640159,-3.37910049,-2.3048544,-2.34026757,3.79758742,18234.20749,22.81473964,-72.79554687,174.1724197,0.318129,0.011357,0.164743,-0.164743,0.04424,0.00196,-18.14828,1258.14662,0.306772,6.55,100.8
"2,2prime,3,3prime,5,5prime,6-Heptachlorobiphenyl",7,-3.86640079,-3.3790998,-2.30774569,-2.35038668,4.38339039,18234.5134,23.11210177,-76.12432535,174.5406211,0.317687,0.014064,0.165876,-0.165876,0.04531,0.00205,-18.05506,1258.21901,0.303623,6.85,105.5
"2,2prime,3,3prime,5,6,6prime-Heptachlorobiphenyl",7,-3.86640071,-3.37909963,-2.30688952,-2.3472466,4.21715893,18234.15973,23.43323485,-75.05655154,173.8037876,0.315875,0.011518,0.163697,-0.163697,0.04402,0.00194,-18.1534,1258.14497,0.304357,6.41,96.3
"2,2prime,3,4,4prime,5,5prime-Heptachlorobiphenyl",7,-3.86640149,-3.37910099,-2.30692672,-2.34724351,4.24171481,18234.64406,23.82608646,-75.60995158,173.2789804,0.319515,0.018681,0.169098,-0.169098,0.04753,0.00226,-18.03027,1258.2396,0.300834,7.21,111.9
"2,2prime,3,4,4prime,5,6-Heptachlorobiphenyl",7,-3.86640136,-3.37910176,-2.3070945,-2.34799363,4.27822703,18234.28546,25.2380141,-75.69744535,170.5541327,0.32069,0.010641,0.165665,-0.165665,0.04426,0.00196,-18.14152,1258.16462,0.310049,7.13,102
"2,2prime,3,4,4prime,5,6prime-Heptachlorobiphenyl",7,-3.86640172,-3.37910068,-2.30763671,-2.34988488,4.3718187,18234.58979,23.98824557,-76.16918793,172.8373218,0.323904,0.014914,0.169409,-0.169409,0.04644,0.00216,-18.04289,1258.22168,0.30899,6.92,102.8
"2,2prime,3,4,4prime,5prime,6-Heptachlorobiphenyl",7,-3.86640106,-3.37910013,-2.30735796,-2.34874819,4.32922931,18234.58923,24.15224093,-75.90445379,172.4543043,0.319704,0.015963,0.167833,-0.167833,0.04637,0.00215,-18.03715,1258.23019,0.303741,7.04,113.1
